APOGEE_ID,RA,DEC,evstate,J,H,K,TEFF,LOGG,ALPHA_M,C_FE,C_N,MG_MN,MN_O,CI_FE,N_FE,O_FE,MG_FE,SI_FE,FE_H,GAIA_PHOT_G_MEAN_MAG,GAIA_PHOT_BP_MEAN_MAG,GAIA_PHOT_RP_MEAN_MAG
2M18401164+4324434,280.0485,43.4121,1,10.716,10.197,10.069,4695.6143,2.8464983,0.155379,0.15851,0.10610899,0.33693773,-0.28421104,0.29746002,0.052401006,0.19480501,0.2475317,0.18530202,-0.29204154,12.284328,12.840567,11.601996
2M18401969+4348380,280.082,43.8106,1,10.137,9.571,9.467,4723.436,2.8711064,0.01086,-0.016018,-0.213225,0.012745701,0.019331,-0.086373,0.197207,0.010124996,0.042201698,0.019024998,0.049127452,11.759661,12.351526,11.056092
2M18403209+4317133,280.1337,43.287,1,10.952,10.429,10.298,4709.2603,2.693789,0.17707899,0.15389997,0.06213799,0.39309767,-0.268901,0.19956997,0.09176198,0.16649498,0.29069167,0.16434199,-0.35129154,12.53834,13.09996,11.851436
2M18405556+4353012,280.2315,43.8837,1,11.207,10.655,10.578,4952.733,3.000676,0.017616,-0.012749001,-0.21519901,0.045808718,-0.055916026,-0.12526998,0.20245,0.037960008,0.0278527,0.0065430105,-0.17822155,12.687871,13.218032,12.025143
2M18410298+4315506,280.2624,43.2641,2,10.036,9.564,9.484,5117.8726,2.9010854,-0.0428217,-0.1041679,-0.4762,-0.065922186,10000.006,-0.119207904,0.3720321,-9999.99,-0.050061196,-0.0372309,-0.01660855,11.455835,11.956243,10.825836
2M18413176+4358551,280.3823,43.982,1,11.198,10.71,10.572,4796.577,3.1805131,-0.010190001,0.041309997,-0.25541002,-0.037892282,0.084491014,-0.072545,0.29672,-0.0062570274,0.040341705,0.001601994,0.17676845,12.796389,13.367275,12.1038475
2M18414542+4308496,280.4393,43.1471,1,11.013,10.485,10.36,4807.2983,2.6437817,0.057238996,0.074124,-0.14633599,0.0999467,0.034905594,0.041695002,0.22046,-0.0049805976,0.1298717,0.030093003,0.015563451,12.595154,13.168556,11.90063
2M18420846+4315092,280.5353,43.2526,1,10.411,9.868,9.793,4725.525,3.0398765,0.05975,0.13375999,-0.08129001,0.111911684,-0.027438998,0.11321001,0.21505,0.065478995,0.14995168,0.050752,0.14157845,12.0040455,12.572386,11.321816
2M18421097+4331424,280.5457,43.5285,1,10.72,10.17,10.077,4650.347,2.7449327,0.073969,0.0838808,-0.06880401,0.1537135,-0.1296868,0.0454378,0.15268481,0.0881598,0.11218649,0.06473079,-0.00915055,12.416288,13.018301,11.70254
2M18421171+4401098,280.5488,44.0194,1,11.283,10.808,10.704,4844.4946,2.9857416,0.032383002,0.024093002,-0.11937201,0.055434704,1.3200194E-4,-0.053636,0.14346501,0.0076979995,0.063264705,0.031438004,-0.07563755,12.935716,13.500187,12.24687
2M18421481+4740382,280.5617,47.6773,1,10.476,9.981,9.86,4899.9116,3.0432184,-0.017643,-0.041044798,-0.280543,0.005492706,0.051991,-0.10567181,0.2394982,-0.061891805,-0.0044081006,-0.0077887997,0.00944325,12.021349,12.570908,11.350011
2M18425254+4409578,280.719,44.1661,1,11.046,10.551,10.46,4719.904,2.7103891,0.0036379993,0.035920992,-0.065718,0.10080872,-0.11689901,0.020976394,0.101638995,0.06751299,0.051422693,-0.032214,-0.16825154,12.756689,13.337221,12.053984
2M18430594+4708391,280.7748,47.1442,2,10.029,9.55,9.445,4840.782,2.5919607,0.012325,-0.046284303,-0.33424097,-0.028934304,0.112658,-0.0736043,0.28795668,-0.0491853,0.0345384,0.017096702,-0.00581125,11.595726,12.141299,10.927048
2M18431265+4412181,280.8027,44.205,1,11.011,10.481,10.361,4719.658,2.819553,-0.019451,0.038850002,-0.15581,-0.0058780015,0.0299761,-0.047461003,0.19466001,-0.020225003,0.003873095,-0.027457304,0.103588454,12.677378,13.275158,11.963995
2M18432829+4742130,280.8679,47.7036,1,7.738,7.264,7.181,4932.589,3.1765409,-0.025729401,-0.065191,-0.321058,-0.049227294,0.018694993,-0.139593,0.255867,-0.0051990002,-0.0357313,-0.033207774,0.01458145,9.201908,9.718953,8.571438
2M18433431+4700177,280.893,47.0049,1,11.038,10.452,10.34,4557.576,2.769726,0.020305999,0.070481,-0.194489,0.055542707,-0.05007401,0.041043997,0.26497,0.061158,0.0666267,-0.012046993,0.33070844,12.793836,13.437909,12.048447
2M18433632+4308157,280.9014,43.1377,1,10.085,9.509,9.417,4656.5864,2.535528,0.212669,0.099803984,0.10901001,0.46866766,-0.41866097,0.23936997,-0.009206027,0.274595,0.32460168,0.20419198,-0.42441154,11.75571,12.341322,11.051036
2M18434420+4249026,280.9342,42.8174,1,10.589,10.056,9.933,4715.3535,2.792554,-0.008283,0.054538995,-0.068929,-0.032784298,0.0574124,0.023825001,0.123468,-0.0011854023,0.0234427,-0.0037229992,0.032633454,12.274293,12.871591,11.561696
2M18434512+4329358,280.938,43.4933,1,11.154,10.651,10.588,4855.033,2.9900908,0.016957,0.03014499,-0.134995,0.051553696,-0.018828005,-0.02690801,0.16513999,0.017601997,0.05032769,0.005854994,-0.16476154,12.75276,13.3012295,12.076855
2M18434550+4711085,280.9396,47.1857,2,10.485,9.998,9.931,4888.6523,2.7303987,0.0020999983,-0.13139799,-0.55048,0.0245247,0.0360352,-0.123118,0.419082,-0.0037632026,0.056796696,0.019864999,-0.034219548,12.035852,12.566862,11.37747
2M18440657+4705166,281.0274,47.088,1,11.335,10.76,10.64,4615.862,2.8866787,0.014828999,0.095253974,-0.15367603,0.0037447214,0.020650983,0.072849005,0.24893,0.0026330054,0.02702871,0.0057989955,0.41518846,13.028997,13.654077,12.292566
2M18440675+4302134,281.0282,43.0371,1,11.506,10.957,10.891,4633.2007,2.523556,0.214949,0.11509299,0.12147796,0.4484677,-0.363291,0.31748,-0.0063849688,0.25302503,0.33820173,0.173332,-0.5860016,13.108785,13.657659,12.422577
2M18440905+4417307,281.0377,44.2919,1,10.796,10.203,10.102,4482.248,2.3260226,0.193439,0.15676999,0.03316,0.3614977,-0.298001,0.18660998,0.12360999,0.22653499,0.2900317,0.19611198,-0.29253155,12.555664,13.178729,11.821124
2M18441322+4336562,281.0551,43.6156,1,10.084,9.537,9.385,4550.6006,2.7789702,0.0060440004,0.11770201,-0.17470801,-0.05314228,0.114546984,0.06870198,0.29241002,0.020666987,0.08207169,0.005378008,0.33971846,11.870891,12.527729,11.117039
2M18441878+4352026,281.0783,43.8674,2,9.458,8.977,8.825,4839.1074,2.448564,0.086089,0.07064399,-0.04282801,0.19694766,-0.15913898,0.03125301,0.113472,0.076213,0.11402169,0.10188201,-0.32223156,10.997617,11.545278,10.332784
2M18442845+4651265,281.1186,46.8574,1,9.538,9.05,8.916,4683.554,2.6987014,-0.012320001,-0.025779001,-0.304419,-0.062086698,0.049262997,-0.044796005,0.27864,0.023905996,0.011082295,0.0018989965,0.036009453,11.219534,11.808147,10.520221
2M18443911+4223266,281.163,42.3907,2,10.418,9.927,9.819,4936.4673,2.4334278,0.038756996,-0.02831301,-0.236103,0.08399472,-0.127821,-0.051883012,0.20778999,0.10597497,0.06214869,0.01740098,-0.38075155,11.988455,12.529525,11.316996
2M18444591+4247598,281.1913,42.8,1,11.103,10.544,10.445,4757.264,2.711141,0.032909,0.026726007,-0.137434,0.083253704,-0.050996006,-0.008822992,0.16416001,0.047890007,0.080147706,0.04227501,-0.16288155,12.760149,13.3571005,12.044736
2M18445235+4653582,281.2182,46.8995,1,11.444,10.957,10.832,4723.1494,3.1863174,-0.012703,0.08644298,-0.10215697,-0.011234283,0.043183386,0.09534997,0.18859994,-0.009819418,0.022129685,-0.04695201,0.37456846,13.072175,13.643892,12.374684
2M18445478+4346201,281.2283,43.7723,1,11.498,10.993,10.884,4811.6836,3.0590336,0.013420999,0.088524,-0.095218,0.009450704,0.072371,0.036307,0.183742,-0.025891997,0.055929706,0.017067999,0.08009945,13.140362,13.708121,12.444973
2M18450198+4637195,281.2583,46.6221,1,8.861,8.349,8.207,4705.173,2.9123535,0.0037939996,0.04580699,-0.29405302,-0.0275563,0.068883985,0.023926988,0.33986002,0.020580009,0.061907694,0.0013450086,0.24346845,10.483774,11.071106,9.792931
2M18451162+4733251,281.2985,47.557,2,9.914,9.414,9.327,4895.3105,2.4941769,-0.0013369992,-0.072501995,-0.287602,-0.0044752806,0.019557983,-0.21489,0.2151,-0.047934003,-0.0328513,0.027402006,-0.12099155,11.434138,11.970028,10.775962
2M18451278+4208537,281.3033,42.1483,2,9.005,8.575,8.456,5092.5166,2.8195705,-0.027046701,-0.048036903,-0.40401098,-0.0479272,9999.981,-0.1302059,0.35597408,-9999.99,-0.0566452,3.4610182E-4,-0.02467955,10.499611,11.021419,9.85576
2M18452413+4209269,281.3506,42.1575,1,11.349,10.762,10.615,4591.078,2.6846502,0.0043209977,0.084259,-0.060081005,-0.008044273,0.022332996,0.024792999,0.14434001,0.010230988,0.024519712,-0.0026379973,0.24591845,13.149243,13.811522,12.3815155
2M18452695+4440119,281.3623,44.67,1,11.463,10.946,10.843,4732.7563,2.9274435,0.062789,0.105289,-0.038178995,0.2164227,-0.20857602,0.086688995,0.14346799,0.128863,0.13670969,0.008702997,-0.06356455,13.0667515,13.624811,12.378799
2M18453956+4335021,281.4149,43.5839,1,10.462,9.973,9.886,4762.9814,2.7416182,0.227769,0.14365,0.14704901,0.46470767,-0.45148095,0.25948998,-0.0033990145,0.30491498,0.3181417,0.191542,-0.59841156,12.020312,12.548182,11.35832
2M18454090+4416503,281.4204,44.2807,1,11.423,10.878,10.82,4848.929,2.8909836,0.156059,0.080707,-0.191043,0.31618768,-0.282731,0.09531,0.27175,0.22054501,0.25400168,0.129172,-0.19612154,12.965387,13.499155,12.299712
2M18454285+4800452,281.4286,48.0126,1,9.067,8.496,8.36,4502.119,2.4065392,0.061346002,0.08361,-0.05711499,0.1757917,-0.144876,0.085056,0.14072499,0.085691,0.1166067,0.066859,-0.033802547,10.790394,11.416883,10.0629835
2M18455933+4202516,281.4972,42.0477,1,10.208,9.636,9.543,4761.2656,2.787697,-0.020289,-0.022316001,-0.066404,-0.0075803995,-0.009452999,-0.075874,0.044088,0.010798998,-0.0062344,-0.023584,-0.08165355,11.829322,12.410572,11.13101
2M18460364+4342483,281.5152,43.7134,1,11.443,10.879,10.833,4907.301,3.024202,0.030377999,0.038485005,-0.173635,0.08002972,-0.09299102,0.01441361,0.21212001,0.086515,0.073553704,0.040535003,-0.14607155,12.935129,13.46641,12.27087
2M18460389+4755134,281.5162,47.9204,1,10.816,10.371,10.301,5107.7354,3.065434,0.02891,0.043611005,-0.10261899,0.04066471,10000.009,0.0044264197,0.14623,-9999.99,0.0588687,0.022215992,-0.17752154,12.230013,12.7104,11.612632
2M18460645+4307485,281.5269,43.1302,1,11.492,10.945,10.806,4664.6987,2.886599,-0.011838,0.045623988,-0.252906,-0.08647731,0.14119801,-0.010331005,0.29852998,-0.032184005,0.022536695,0.005255997,0.26649845,13.175175,13.7833395,12.448742
2M18460922+4651047,281.5385,46.8513,1,10.475,9.897,9.785,4591.557,2.6420293,0.080319,0.129174,-0.0783,0.1975027,-0.13406602,0.053748995,0.207474,0.126609,0.1900457,0.057154,-0.034210548,12.155249,12.761878,11.437022
2M18461319+4215352,281.555,42.2598,1,11.363,10.798,10.705,4678.194,2.7849674,0.006889999,0.035702992,-0.04761001,0.023862705,0.035895996,-0.014249001,0.083313,-1.7600134E-4,0.0595827,-0.012251001,0.060556453,13.112874,13.735743,12.372786
2M18462085+4407070,281.5869,44.1186,1,11.424,10.807,10.686,4600.608,2.6989412,0.0028930008,0.078732,-0.180528,-0.048645318,0.091852516,0.041795984,0.25926,1.2148917E-4,0.043328688,0.017328992,0.24046846,13.1167965,13.747697,12.374292
2M18462322+4337041,281.5968,43.6178,2,7.757,7.236,7.127,4877.07,2.5256147,0.007224001,-0.027672999,-0.221203,0.0018868148,-0.014605008,-0.09793001,0.19353001,0.011859,-8.591935E-4,0.006062001,-0.12425155,9.24286,9.773737,8.599893
2M18462535+4311114,281.6057,43.1865,1,11.104,10.601,10.474,4696.644,3.0798736,0.028807,0.069846004,-0.16332403,0.1160617,-0.06364201,-0.01639998,0.23317003,0.06047201,0.112891704,-0.0017259866,0.21698844,12.726396,13.3103485,12.024243
2M18462545+4243415,281.6061,42.7282,1,10.817,10.296,10.164,4729.601,2.7295272,0.025196001,0.032025002,-0.20277798,-0.0020352975,0.0021189973,0.0021600015,0.23480299,0.048753,0.0488367,0.03262,-0.05998955,12.514853,13.117938,11.794586
2M18463409+4308006,281.6421,43.1335,1,10.705,10.149,10.062,4701.1797,3.0070968,-0.022994,0.029043019,-0.20928702,0.004653707,0.011105984,-0.044794977,0.23833004,-0.037411973,-0.021652281,-0.01668498,0.27265844,12.327963,12.918923,11.618882
2M18463498+4208233,281.6458,42.1398,1,9.844,9.329,9.211,4695.7095,2.8314292,0.157599,0.13553001,-0.049050003,0.31630772,-0.28913105,0.16127001,0.18458001,0.21501501,0.2421917,0.13449201,-0.17260155,11.438948,12.005729,10.752326
2M18463672+4636281,281.653,46.6078,1,11.312,10.744,10.664,4743.8574,2.9239624,-0.01103,0.008863017,-0.300857,-0.0075972974,0.042709485,-0.08712799,0.30972004,-0.018216476,0.016895711,0.003041014,0.19056845,12.909805,13.490332,12.214346
2M18464309+4223144,281.6795,42.3874,1,9.394,8.783,8.732,4746.3115,2.445411,0.22169901,0.08351505,-0.07697499,0.45837772,-0.556991,0.15461004,0.16049004,0.37940505,0.28079176,0.23888204,-0.63536155,11.000514,11.573059,10.309185
2M18464331+4237431,281.6805,42.6287,1,10.037,9.471,9.309,4660.767,2.580223,0.038393997,0.029021002,-0.13639799,0.059357703,-0.0108600035,0.034808002,0.165419,0.037054002,0.0855517,0.028504,-0.10187155,11.714329,12.33252,10.986199
